up_down_regulated_genes$gene
"Acsl3,Utp14b"
Tnni1
Aspm
Nek2
Kif1a
Mcm6
Nuf2
Casq1
Plagl1
Bves
Hey2
Cdk1
Rps26
Ppia
Upp1
Myh8
Fam64a
Ppp1r1b
Cdc6
Myl4
Birc5
Fignl1
Ddc
Hmmr
Slc47a1
Slfn9
Prr11
Rrm2
Dlk1
Tubb2b
Trip13
Ccnb1
Cdkn3
Dlgap5
Diap3
Sqle
Srebf2
Tmem71
Cenpm
Racgap1
Krt80
Cyp39a1
Epb4.1l3
Tubb5
Lmnb1
Kif11
Cep55
Psat1
Myl9
Fam83d
Ube2c
Ptgds
Gm13502
Arhgap11a
Pla2g4e
Ckap2l
Aurka
Bmp7
Iqgap3
Col11a1
Cenpe
Lpar3
Ect2
Ccna2
Fdps
Rabggtb
Melk
Dhcr24
Grik3
Stmn1
Tnc
Kif2c
Gjb4
Chpf2
Stbd1
Fras1
Kntc1
Tyms
Bend4
Peg10
Mest
Cdca3
"4933413G19Rik,Foxm1"
Prc1
Rrm1
Plk1
Blm
Plekha7
Kif22
Mki67
Asf1b
Cdh3
Shcbp1
Ldlr
Ttk
Kif15
Dnmt1
Anln
Ncam1
Kif23
Ccnb2
Snap91
Rps24-ps3
Nrk
Sept6
Pdk3
Cited1
Capn6
Ppfia4
Gen1
Slc22a17
Espl1
Chaf1b
Tpx2
Dbf4
Ckap2
Scn10a
C430049B03Rik
Ercc6l
Bex1
Gadd45b
Top2a
Rpl23a-ps3
Cdca2
Tuba1a
Ndc80
Tmem2
Rimkla
Eif2s3y
Gas2l3
Ccdc99
C330027C09Rik
Fbn2
Mastl
Bub1
Insig1
Napepld
Grik5
Igf2bp2
Slc8a1
Mex3a
Arhgap36
Mcm3
Il23a
Ncapg2
Mcm4
Elovl6
Stil
Igf2bp3
P4ha3
Cenpn
Kif14
AL596111.1
"Dcpp1,Dcpp2"
Hn1l
Cdc25c
2810001G20Rik
Ncaph
Clca1
Pafah1b3
Mcm5
Cks1b
Cacna1h
Rbl1
Exo1
Ppp1r1a
Rpsa-ps10
Gtse1
Spc25
Sypl2
Kank4
Ankle1
Cks2
Troap
Gm1337
Brca1
Bub1b
Tacc3
Neil3
Bex4
Ralgps2
Dpysl3
E130309F12Rik
Vash2
Tubb6
Incenp
Dstn
Fam46b
Lig1
